srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,Actual Label,Predicted Label
175.45.176.3,9509,149.171.126.14,80,tcp,FIN,1.985191,68187,612,254,252,27,1,http,270204.7188,2292.978271,60,14,255,1199188021,1717510287,1136,44,0,0,3812.882622,261.663469,1421928095,32.915593,138.200687,0.289685,0.188578,0.101107,0,1,0,0,0,2,1,1,2,1,1,1,0,1
175.45.176.0,1260,149.171.126.12,3306,tcp,FIN,0.587018,608,646,254,252,2,3,-,7468.254883,7931.613281,10,10,255,3137950455,3060098035,61,65,0,0,3416.268343,76.674391,1421931353,65.224222,61.638223,0.096547,0.031567,0.06498,0,1,0,0,0,2,5,2,1,1,1,1,0,1
175.45.176.1,41417,149.171.126.13,520,udp,INT,52.377636,156,0,254,0,0,0,-,17.870222,0.0,4,0,0,0,0,39,0,0,0,24691.044,0.0,1421928776,17459.212,0.0,0.0,0.0,0.0,0,2,0,0,0,14,5,1,6,1,1,1,1,0
175.45.176.3,45700,149.171.126.17,514,udp,INT,1.1e-05,424,0,254,0,0,0,-,154181824.0,0.0,2,0,0,0,0,212,0,0,0,0.0,0.0,1421933317,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,8,2,1,3,1,1,1,1,0
175.45.176.3,2142,149.171.126.14,445,tcp,FIN,0.729771,1014,842,254,252,3,2,-,10194.97852,8309.456055,12,10,255,1290844120,2221154930,85,84,0,0,4210.790053,130.055617,1421932197,65.121,77.092891,0.1261,0.035924,0.090176,0,1,0,0,0,4,5,2,2,2,1,2,1,0
175.45.176.0,11184,149.171.126.10,179,tcp,FIN,0.875111,534,268,254,252,2,1,-,4397.156738,2047.740234,10,6,255,2891035592,678320896,53,45,0,0,5074.851059,297.328094,1421931540,95.028778,166.499797,0.185653,0.042599,0.143054,0,1,0,0,0,6,3,1,2,1,1,1,0,1
175.45.176.1,27660,149.171.126.14,80,tcp,FIN,1.003986,1478,268,254,252,2,1,http,10605.72559,1784.885498,10,6,255,406160579,3279560362,148,45,0,0,7634.903545,352.194625,1421928524,109.259778,187.633797,0.111055,0.06581,0.045245,0,1,0,0,0,1,1,2,1,1,1,1,0,1
175.45.176.2,63758,149.171.126.10,179,tcp,FIN,0.6964,534,268,254,252,2,1,-,5525.560059,2573.233887,10,6,255,3214499808,3159138684,53,45,0,0,4258.624365,211.514703,1421930717,73.009333,124.673602,0.115698,0.073022,0.042676,0,1,0,0,0,2,2,1,1,1,1,1,1,0
175.45.176.2,37135,149.171.126.12,69,udp,INT,4e-06,1150,0,254,0,0,0,-,1150000000.0,0.0,2,0,0,0,0,575,0,0,0,0.0,0.0,1421931318,0.004,0.0,0.0,0.0,0.0,0,2,0,0,0,3,5,2,1,1,1,1,1,0
175.45.176.0,64091,149.171.126.11,179,tcp,FIN,0.549129,2322,268,254,252,2,1,-,30448.21875,3263.349609,10,6,255,1749041147,151358722,232,45,0,0,2755.823929,134.427875,1421928658,52.345556,94.537602,0.172,0.076439,0.095561,0,1,0,0,0,6,4,1,1,1,1,1,0,1
175.45.176.0,62541,149.171.126.13,520,udp,INT,1.2e-05,1064,0,254,0,0,0,-,354666656.0,0.0,2,0,0,0,0,532,0,0,0,0.0,0.0,1421930086,0.012,0.0,0.0,0.0,0.0,0,2,0,0,0,35,35,1,1,1,1,1,1,0
175.45.176.0,65532,149.171.126.10,80,tcp,FIN,1.049109,504,354,254,252,2,1,http,3461.985352,2363.910645,10,8,255,3788270195,114733846,50,44,0,0,6795.186787,228.821937,1421930742,116.567667,138.408578,0.157819,0.079627,0.078192,0,1,0,0,0,1,1,1,1,1,1,1,0,1
175.45.176.3,23935,149.171.126.15,179,tcp,FIN,0.798196,906,642,254,252,5,3,-,8519.210938,5903.312012,16,12,255,4269196089,2005697585,57,54,0,0,3160.090807,107.712531,1421930352,51.322468,68.976,0.091478,0.03945,0.052028,0,1,0,0,0,5,6,1,1,1,1,1,1,0
175.45.176.3,62462,149.171.126.15,179,tcp,FIN,1.509247,904,556,254,252,5,3,-,4494.957031,2655.62915,16,10,255,508071837,2459863995,57,56,0,0,5408.280274,218.185781,1421930349,100.616464,156.600328,0.199618,0.099089,0.100529,0,1,0,0,0,5,5,2,2,1,1,2,1,0
175.45.176.1,63775,149.171.126.18,8080,tcp,FIN,1.280052,2064,2294,254,252,2,2,-,11612.02832,12549.49023,10,8,255,3272666524,1937666554,206,287,0,0,7812.033993,302.815844,1421928152,142.162333,164.063859,0.201188,0.131603,0.069585,0,1,0,0,0,7,1,1,4,1,1,1,1,0
